id,symbol,name,sector,grade,analysis_date,price,volume,momentum_score,value_score,growth_score,quality_score,revenue_growth,earnings_growth,pe_ratio,debt_to_ebitda,analysis_batch,quadrant,analysis_notes,json_data
263,ACN,Accenture plc,Technology,A,2025-03-31 19:16:52,311.509,2742781.0,,,,,0.012239863382286663,0.057225749564472794,22.139944,0.36828977397349777,batch_0_50,A,"Revenue Grade: F, Earnings Grade: A, PE Grade: C, Debt Grade: A","{""revenue_grade"": ""F"", ""earnings_grade"": ""A"", ""pe_grade"": ""C"", ""debt_grade"": ""A""}"
290,AME,"AMETEK, Inc.",Industrials,A,2025-03-31 19:16:52,171.41,570548.0,,,,,0.052180174171397385,0.04792611568183687,23.480822,0.9893525994842006,batch_0_50,A,"Revenue Grade: A, Earnings Grade: F, PE Grade: C, Debt Grade: A","{""revenue_grade"": ""A"", ""earnings_grade"": ""F"", ""pe_grade"": ""C"", ""debt_grade"": ""A""}"
310,AZO,"AutoZone, Inc.",Consumer Cyclical,A,2025-03-31 19:18:04,3825.04,118119.0,,,,,0.05917664158113705,0.05299779388441663,21.942633,2.843128437677811,batch_50_100,A,"Revenue Grade: A, Earnings Grade: A, PE Grade: C, Debt Grade: C","{""revenue_grade"": ""A"", ""earnings_grade"": ""A"", ""pe_grade"": ""C"", ""debt_grade"": ""C""}"
462,BEN,"Franklin Resources, Inc.",Financial Services,A,2025-03-31 19:21:25,19.24,2551950.0,,,,,0.08008255408056666,-0.47349342999546895,7.4,9.517053305214166,batch_200_250,A,"Revenue Grade: A, Earnings Grade: F, PE Grade: A, Debt Grade: D","{""revenue_grade"": ""A"", ""earnings_grade"": ""F"", ""pe_grade"": ""A"", ""debt_grade"": ""D""}"
329,BMY,Bristol-Myers Squibb Company,Healthcare,A,2025-03-31 19:18:04,61.13,6068304.0,,,,,0.07319024130115985,-2.1150155763239877,8.69559,16.161616161616163,batch_50_100,A,"Revenue Grade: A, Earnings Grade: F, PE Grade: A, Debt Grade: D","{""revenue_grade"": ""A"", ""earnings_grade"": ""F"", ""pe_grade"": ""A"", ""debt_grade"": ""D""}"
366,C,"Citigroup, Inc.",Financial Services,A,2025-03-31 19:19:11,70.799,8339093.0,,,,,0.05277575820523473,0.3742956220199393,9.846871,,batch_100_150,A,"Revenue Grade: A, Earnings Grade: B/C, PE Grade: A, Debt Grade: None","{""revenue_grade"": ""A"", ""earnings_grade"": ""B/C"", ""pe_grade"": ""A"", ""debt_grade"": null}"
374,CMCSA,Comcast Corporation,Communication Services,A,2025-03-31 19:19:11,36.905,13700173.0,,,,,0.017759023459349193,0.05224850532882766,8.425798,2.6348214523119466,batch_100_150,A,"Revenue Grade: F, Earnings Grade: A, PE Grade: A, Debt Grade: C","{""revenue_grade"": ""F"", ""earnings_grade"": ""A"", ""pe_grade"": ""A"", ""debt_grade"": ""C""}"
352,CNC,Centene Corporation,Healthcare,A,2025-03-31 19:18:05,60.9,2027461.0,,,,,0.05890947343813921,0.2231680236861584,8.650568,3.133709677419355,batch_50_100,A,"Revenue Grade: A, Earnings Grade: B/C, PE Grade: A, Debt Grade: C","{""revenue_grade"": ""A"", ""earnings_grade"": ""B/C"", ""pe_grade"": ""A"", ""debt_grade"": ""C""}"
386,COST,Costco Wholesale Corporation,Consumer Defensive,A,2025-03-31 19:19:11,945.92,1535536.0,,,,,0.05020017334599034,0.17085187539732993,48.06504,0.6810472583566606,batch_100_150,A,"Revenue Grade: A, Earnings Grade: B/C, PE Grade: F, Debt Grade: A","{""revenue_grade"": ""A"", ""earnings_grade"": ""B/C"", ""pe_grade"": ""F"", ""debt_grade"": ""A""}"
381,CPRT,"Copart, Inc.",Industrials,A,2025-03-31 19:19:11,56.765,3608103.0,,,,,0.09492267512387847,0.10121584402552715,32.62356,0.0673746892518154,batch_100_150,A,"Revenue Grade: A, Earnings Grade: B/C, PE Grade: F, Debt Grade: A","{""revenue_grade"": ""A"", ""earnings_grade"": ""B/C"", ""pe_grade"": ""F"", ""debt_grade"": ""A""}"
372,CTSH,Cognizant Technology Solutions ,Technology,A,2025-03-31 19:19:11,76.43,1351448.0,,,,,0.019790213403606677,0.053621825023518345,15.316634,0.4187889077532541,batch_100_150,A,"Revenue Grade: F, Earnings Grade: A, PE Grade: B, Debt Grade: A","{""revenue_grade"": ""F"", ""earnings_grade"": ""A"", ""pe_grade"": ""B"", ""debt_grade"": ""A""}"
400,DAL,"Delta Air Lines, Inc.",Industrials,A,2025-03-31 19:19:11,43.8,11543587.0,,,,,0.06193150496141125,-0.24994575829898025,6.239316,2.8758524880020206,batch_100_150,A,"Revenue Grade: A, Earnings Grade: F, PE Grade: A, Debt Grade: C","{""revenue_grade"": ""A"", ""earnings_grade"": ""F"", ""pe_grade"": ""A"", ""debt_grade"": ""C""}"
399,DELL,Dell Technologies Inc.,Technology,A,2025-03-31 19:19:11,90.53,4592493.0,,,,,0.08076901328809725,0.35537190082644626,9.630852,2.5630672926447575,batch_100_150,A,"Revenue Grade: A, Earnings Grade: B/C, PE Grade: A, Debt Grade: C","{""revenue_grade"": ""A"", ""earnings_grade"": ""B/C"", ""pe_grade"": ""A"", ""debt_grade"": ""C""}"
413,DHI,"D.R. Horton, Inc.",Consumer Cyclical,A,2025-03-31 19:20:20,127.325,1137949.0,,,,,0.037816832297436015,0.00225467265103146,7.9927807,0.9913664286900216,batch_150_200,A,"Revenue Grade: F, Earnings Grade: F, PE Grade: A, Debt Grade: A","{""revenue_grade"": ""F"", ""earnings_grade"": ""F"", ""pe_grade"": ""A"", ""debt_grade"": ""A""}"
421,EIX,Edison International,Utilities,A,2025-03-31 19:20:21,59.2,1732179.0,,,,,0.077182029624189,0.09879175550817342,10.385965,5.927013027782138,batch_150_200,A,"Revenue Grade: A, Earnings Grade: A, PE Grade: B, Debt Grade: D","{""revenue_grade"": ""A"", ""earnings_grade"": ""A"", ""pe_grade"": ""B"", ""debt_grade"": ""D""}"
429,EPAM,"EPAM Systems, Inc.",Technology,A,2025-03-31 19:20:21,167.965,310479.0,,,,,0.007973495588994017,0.08979028155067456,15.010277,0.2430503448029442,batch_150_200,A,"Revenue Grade: F, Earnings Grade: A, PE Grade: B, Debt Grade: A","{""revenue_grade"": ""F"", ""earnings_grade"": ""A"", ""pe_grade"": ""B"", ""debt_grade"": ""A""}"
422,EW,Edwards Lifesciences Corporatio,Healthcare,A,2025-03-31 19:20:21,72.6,2982218.0,,,,,0.08572854291417166,1.9767541357672562,29.632652,0.40624455922465325,batch_150_200,A,"Revenue Grade: A, Earnings Grade: B/C, PE Grade: F, Debt Grade: A","{""revenue_grade"": ""A"", ""earnings_grade"": ""B/C"", ""pe_grade"": ""F"", ""debt_grade"": ""A""}"
440,EXC,Exelon Corporation,Utilities,A,2025-03-31 19:20:21,46.025,8762221.0,,,,,0.05987941271229346,0.05670103092783505,17.5,5.706299694189602,batch_150_200,A,"Revenue Grade: A, Earnings Grade: A, PE Grade: B, Debt Grade: D","{""revenue_grade"": ""A"", ""earnings_grade"": ""A"", ""pe_grade"": ""B"", ""debt_grade"": ""D""}"
443,EXPD,Expeditors International of Was,Industrials,A,2025-03-31 19:20:21,120.51,600480.0,,,,,0.1398268407577975,0.07596133795025256,22.399628,0.5160833553305341,batch_150_200,A,"Revenue Grade: B, Earnings Grade: A, PE Grade: C, Debt Grade: A","{""revenue_grade"": ""B"", ""earnings_grade"": ""A"", ""pe_grade"": ""C"", ""debt_grade"": ""A""}"
454,FSLR,"First Solar, Inc.",Technology,A,2025-03-31 19:20:21,125.52,2323845.0,,,,,0.2674882375168821,0.5552236039274077,6.0172577,0.38465226739786784,batch_150_200,A,"Revenue Grade: C, Earnings Grade: B/C, PE Grade: A, Debt Grade: A","{""revenue_grade"": ""C"", ""earnings_grade"": ""B/C"", ""pe_grade"": ""A"", ""debt_grade"": ""A""}"
468,GEV,GE Vernova Inc.,Utilities,A,2025-03-31 19:21:25,303.635,3151191.0,,,,,0.05102439904930955,-4.54337899543379,44.005074,0.6348143639683506,batch_200_250,A,"Revenue Grade: A, Earnings Grade: F, PE Grade: F, Debt Grade: A","{""revenue_grade"": ""A"", ""earnings_grade"": ""F"", ""pe_grade"": ""F"", ""debt_grade"": ""A""}"
477,GL,Globe Life Inc.,Financial Services,A,2025-03-31 19:21:25,131.73,277968.0,,,,,0.060676273094628336,0.10301981447430093,9.721771,,batch_200_250,A,"Revenue Grade: A, Earnings Grade: B/C, PE Grade: A, Debt Grade: None","{""revenue_grade"": ""A"", ""earnings_grade"": ""B/C"", ""pe_grade"": ""A"", ""debt_grade"": null}"
473,GM,General Motors Company,Consumer Cyclical,A,2025-03-31 19:21:25,47.035,8530020.0,,,,,0.09078106632837141,-0.4067344722030216,4.449858,6.007768686218626,batch_200_250,A,"Revenue Grade: A, Earnings Grade: F, PE Grade: A, Debt Grade: D","{""revenue_grade"": ""A"", ""earnings_grade"": ""F"", ""pe_grade"": ""A"", ""debt_grade"": ""D""}"
464,GRMN,Garmin Ltd.,Technology,A,2025-03-31 19:21:25,217.5,424225.0,,,,,0.2043992906233288,0.09444525431982358,29.155497,0.07604656630184205,batch_200_250,A,"Revenue Grade: C, Earnings Grade: A, PE Grade: F, Debt Grade: A","{""revenue_grade"": ""C"", ""earnings_grade"": ""A"", ""pe_grade"": ""F"", ""debt_grade"": ""A""}"
483,HCA,"HCA Healthcare, Inc.",Healthcare,A,2025-03-31 19:21:25,346.845,880031.0,,,,,0.0867350080039404,0.09881724532621138,14.128106,3.2553972366148534,batch_200_250,A,"Revenue Grade: A, Earnings Grade: A, PE Grade: B, Debt Grade: C","{""revenue_grade"": ""A"", ""earnings_grade"": ""A"", ""pe_grade"": ""B"", ""debt_grade"": ""C""}"
505,INCY,Incyte Corporation,Healthcare,A,2025-03-31 19:21:25,60.56,796997.0,,,,,0.14762440913625727,-0.9454232687805703,9.863193,0.10668417622587331,batch_200_250,A,"Revenue Grade: B, Earnings Grade: F, PE Grade: A, Debt Grade: A","{""revenue_grade"": ""B"", ""earnings_grade"": ""F"", ""pe_grade"": ""A"", ""debt_grade"": ""A""}"
